address,area,bedrooms,date,floors,price,title,road,ward,district,address_complete,road_cat,ward_cat,district_cat,price_converted,is_price_per_m2,price_per_m2
"Đường Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",55,4,Hôm nay,5," 9,5 tỷ",Bán nhà Thịnh Quang 55m 5Tg MT 4m hơn 9 tỷ full nội thất ôtô đỗ thoáng trước sau,Thịnh Quang,Thịnh Quang,Đống Đa,1,777,240,28,9500.0,False,172.72727272727272
"Đường Bưởi, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",40,4,Hôm nay,6," 12,5 tỷ",Bán nhà Đường Bưởi 40 m 6Tg MT 5m hơn 10 tỷ nhà đẹp phân lô thang máy 20m ô tô tránh.,Bưởi,Vĩnh Phúc,Ba Đình,1,66,332,1,12500.0,False,312.5
"Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà Nội",75,9,Hôm nay,5," 12,6 tỷ","Cần Bán nhà riêng phố Xã Đàn nhà 75m 5 tầng MT 4,6m chỉ 12,6 tỷ KD sầm uất Ôtô vào nhà.",Xã Đàn,Đàn,Đống Đa,1,999,359,28,12600.0,False,168.0
"Phố An Trạch, Phường Cát Linh, Quận Đống Đa, Hà Nội",40,3,Hôm nay,5," 11,5 tỷ","Cần Bán nhà riêng An Trạch 40m 4Tg MT 4,2m chỉ 11,5 tỷ ô tô tránh nhà đẹp KD sầm uất.",An Trạch,Cát Linh,Đống Đa,1,40,22,28,11500.0,False,287.5
"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",70,6,Hôm nay,5, 22 tỷ,"Cần bán nhà riêng Phố Xuân La 70m 5Tg MT 4,1m chỉ 22 tỷ phân lô bộ Công An ô tô dừng đỗ.",Xuân La,Xuân La,Tây Hồ,1,992,338,25,22000.0,False,314.2857142857143
"Đường Thịnh Quang, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",40,3,Hôm nay,5," 7,8 tỷ","Bán gấp nhà riêng Thịnh Quang 40m 5Tg MT 4,0m chỉ 7,8 tỷl ô góc full nội thất ôtô đỗ cửa.",Thịnh Quang,Ngã Tư Sở,Đống Đa,1,777,143,28,7800.0,False,195.0
"Phố Tôn Đức Thắng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",68,6,Hôm nay,6," 12,7 tỷ","Bán gấp nhà riêng phố Tôn Đức Thắng 68m 6Tg MT 6m chỉ 12,7 tỷ 20m ra phố sầm uất.",Tôn Đức Thắng,Ô Chợ Dừa,Đống Đa,1,898,355,28,12700.0,False,186.76470588235293
"Phố Nguyễn Phúc Lai, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",75,3,Hôm nay,4, 22 tỷ,"Bán Gấp Nhà riềng phố Nguyễn Phúc Lai 75m 4Tg MT 9,6m chỉ 22 tỷ Ô tô KD sầm uất.",Nguyễn Phúc Lai,Ô Chợ Dừa,Đống Đa,1,536,355,28,22000.0,False,293.3333333333333
"Phố Trần Quang Diệu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",60,4,Hôm nay,4, 23 tỷ,Cần Bán Nhà riêng phố Trần Quang Diệu 60m 4Tg MT 6m nhỉnh 20 tỷ phân Lô Ô tô tránh.,Trần Quang Diệu,Ô Chợ Dừa,Đống Đa,1,844,355,28,23000.0,False,383.3333333333333
"Phố Láng Hạ, Phường Thành Công, Quận Ba Đình, Hà Nội",55,5,Hôm nay,4," 13,5 tỷ","Cần Bán Nhà riêng Phố Láng Hạ 55m 4Tầng MT 6,4m chỉ 13,5 tỷ Kinh Doanh ô tô đỗ cửa.",Láng Hạ,Thành Công,Ba Đình,1,387,242,1,13500.0,False,245.45454545454547
"Đường Linh Quang, Phường Văn Chương, Quận Đống Đa, Hà Nội",55,6,Hôm nay,5," 11,8 tỷ","Bán gấp nhà riêng Linh Quang phố Tôn Đức Thắng 56m 5Tg MT 4,1m hơn 11 tỷ ô tô KD sầm uất.",Linh Quang,Văn Chương,Đống Đa,1,371,326,28,11800.0,False,214.54545454545453
"Phố Đặng Tiến Đông, Phường Trung Liệt, Quận Đống Đa, Hà Nội",46,3,Hôm nay,6," 11,7 tỷ","Siêu phẩm phố Đặng Tiến Đông 46m 6Tg MT 4,2m hơn 10 tỷ ô tô đỗ cổng full nội thất xịn só.",Đặng Tiến Đông,Trung Liệt,Đống Đa,1,1102,273,28,11700.0,False,254.34782608695653
"Phố Xã Đàn, Phường Trung Tự, Quận Đống Đa, Hà Nội",45,6,Hôm nay,6, 10 tỷ,Cần Bán nhà riêng phố Xã Đàn 45m 6 Tầng MT 7m chỉ 10 tỷ full nội thất.,Xã Đàn,Đàn,Đống Đa,1,999,359,28,10000.0,False,222.22222222222223
"Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",65,8,Hôm nay,6," 15,8 tỷ","Bán gấp nhà riêng phố Nguyễn Tuân 65m 6Tg chỉ 15,8 tỷ thang máy full nội thất ôtô dừng đỗ.",Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,1,561,239,22,15800.0,False,243.07692307692307
"Đường Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",46,4,Hôm nay,5," 8,7 tỷ","Cần Bán nhà riêng Thịnh Quang 46m 5Tg MT 4,3m chỉ 8,7 tỷ ôtô đỗ full nội thất nhà đẹp.",Thịnh Quang,Thịnh Quang,Đống Đa,1,777,240,28,8700.0,False,189.1304347826087
"Phố Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội",45,4,Hôm nay,5," 8,35 tỷ","Bán nhà phố Chiến Thắng, 45m2, 4 tầng, giá 8.35 tỷ – Không gian sống lý tưởng",Chiến Thắng,Văn Quán,Hà Đông,1,97,328,10,8350.0,False,185.55555555555554
"Đường Phố Lụa, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",45,4,Hôm nay,5," 8,35 tỷ","💥 Nhà đẹp lung linh Phố Lụa - 45m2, 5 TẦNG - 8.35 tỷ - Ô Tô Tránh, An ninh tốt",Phố Lụa,Vạn Phúc,Hà Đông,1,688,334,10,8350.0,False,185.55555555555554
"Đường Phố Lụa, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",46,4,Hôm nay,5, 9 tỷ,💥HÀNG HIẾM💥 PHỐ LỤA – 3 BƯỚC RA PHỐ VẠN PHÚC - 46.6m² x 5 tầng - Chỉ 9.x tỷ - Ô Tô Tránh,Phố Lụa,Vạn Phúc,Hà Đông,1,688,334,10,9000.0,False,195.65217391304347
"Đường Vũ Trọng Khánh, Phường Mộ Lao, Quận Hà Đông, Hà Nội",45,4,Hôm nay,5," 9,4 tỷ",💥 Siêu đẹp 💥 nhà phố Vũ Trọng Khánh - Ô TÔ TRÁNH - 45m2 x 5 TẦNG - chỉ 9.x tỷ,Vũ Trọng Khánh,Mộ Lao,Hà Đông,1,974,135,10,9400.0,False,208.88888888888889
