area,balcony_direction,house_direction,facade_width,price,interior,legality,bedrooms,bathrooms,floors,title,road_width,price_per_m2
71.0,0,0,0.0,3800.0,0,2,2,2,0,GIỎ HÀNG NGOẠI GIAO - BAN CÔNG NGẮM TRỰC DIỆN SÔNG HÀN - VIEW PHÁO HOA - GIÁ TỐT CĐT PENINISULA,0.0,53.521126760563384
147.0,0,0,0.0,55.0,0,1,3,3,0,"Sở Hữu Duplex Fiato Uptown Không Gian Sống Đẳng Cấp, Giá Tốt Chỉ 55 Triệu/m2 Thanh toán 44%nhận nhà",0.0,0.3741496598639456
80.0,0,0,0.0,1550.0,0,1,0,0,0,"Bán gấp đất thổ cư MT đường số 5, Linh Xuân, DT: 80m2, Giá: 1tỷ350SHR, LH: 0909 583 *** Nhân",0.0,19.375
65.14,3,7,0.0,2290.0,1,1,2,2,0,"Căn hộ FPT Plaza 3 ban công Đông siêu đẹp, mát mẻ chỉ 2.2x tỷ",0.0,35.15505066011667
155.0,0,0,0.0,790.0,0,2,0,0,0,"Cần vốn mình ra nhanh 2 lô thổ cư sát Quốc Lộ 20, Định Quán. Có lô góc. DT 155m2, chỉ vài trăm/lô",0.0,5.096774193548387
104.0,0,0,4.0,9300.0,0,2,1,1,2,"Nhà to đ. 10m 104m2 (4.3x24m), Phan Anh, Tân Phú, 9.3 tỷ TL, sát chợ, kinh doanh đỉnh",10.0,89.42307692307692
39.0,0,0,0.0,7500.0,0,0,4,4,5,7.5 tỷ- đường nội bộ 7m- Nguyễn Thị Nhỏ ngay Lữ Gia (3.9x10.5m- 5 tầng)- xe hơi vào nhà- mới 99%,7.0,192.30769230769232
77.0,0,0,0.0,4650.0,2,2,2,2,0,"Bán CHCC The One Gamuda DT 77m2 2PN 2WC, view KĐT Gamuda cực thoáng",0.0,60.38961038961039
45.0,0,0,0.0,8500.0,2,2,6,5,5,"TRẦN PHÚ QUẬN 5 DT 45M2 5 TẦNG 6PN HẺM 4M, THÔNG RA HẺM 565 NGUYỄN TRÃI.",4.0,188.88888888888889
127.0,0,0,4.0,5800.0,0,2,0,0,0,Bán đất măth tiền đông hòa dĩ an gần làng đại học,10.0,45.669291338582674
125.0,0,0,5.0,4150.0,0,2,2,1,1,Nhà Đông Hòa. DT đẹp: 5x25. Tổng 125m. Thổ cư 95m. Đường nhựa 6m thông. Gần Trần Hưng Đạo ST BigC,6.0,33.2
212.5,0,0,8.0,14000.0,0,1,4,4,3,"Biệt thự thô đã có sổ hồng, bạn muốn ở nhà mới hoàn thiện theo sở thích - ToanTranVillas",10.0,65.88235294117646
63.0,0,0,0.0,11000.0,0,2,0,0,0,Hàng mới shophouse 63m2 giá 11tỷ (cho thuê 65tr/ tháng) sổ đỏ lâu dài ký trực tiếp CĐT mua là thắng,0.0,174.6031746031746
80.0,0,0,0.0,5150.0,2,2,2,2,0,"Bán nhanh căn hộ 2 phòng ngủ 80m2 đầy đủ nội thất, view cực đẹp thoáng Gamuda City",0.0,64.375
33.9,0,0,3.0,6500.0,1,2,6,0,5,"Bán nhà Vạn Phúc ngay Cầu Cong Bưu Điện Hà Đông đường thông giá chỉ 6,5tỷ 33,9m2 5 tầng",0.0,191.74041297935105
59.0,0,0,8.0,8500.0,0,0,4,4,4,"Bán nhà phố Nguyễn Thái Học 59m2, 4 tầng 8m Mt 8.5 tỷ",3.0,144.0677966101695
130.0,0,0,0.0,14500.0,2,2,3,2,0,"Em bán căn 3PN 130m2 view hồ điều hoà tại N01T8 NGĐ, giá siêu rẻ view thoáng. LH 0923 363 ***/Zalo",0.0,111.53846153846153
80.0,0,0,0.0,6550.0,2,2,3,2,0,"Không đăng ảo, Hà Nội Center Point: 80m2 3N2VS 6.55 tỷ, LH 0936 218 ***",0.0,81.875
100.0,0,0,5.0,1900.0,0,0,0,0,0,"Bán đất nền dự án Happy Home Cà Mau, 1,9 tỷ, 100m2 - sổ đỏ chính chủ",0.0,19.0
68.0,0,0,0.0,3350.0,2,2,2,2,0,"( NHÀ THẬT - GIÁ THẬT) Căn hộ 68m² (2PN - 2WC) THIẾT KẾ MỚI ĐẸP, FULL NỘI THẤT, HỖ TRỢ VAY",0.0,49.26470588235294
80.0,0,1,5.0,6490.0,0,2,2,2,2,"Nhà 3 lầu hẻm xe hơi vào nhà Nguyễn Hới 5x16m, bán 6.49 tỷ còn thương lượng",6.0,81.125
42.0,1,1,5.0,2630.0,1,2,3,3,3,"Liên khu 5-6, Xây 3 lầu, HXH, Sổ Hồng, 2 tỷ 630 còn thương lượng !!!",5.0,62.61904761904762
77.0,0,0,0.0,3300.0,2,2,2,2,0,"BÁN CĂN 2PN, 77M2, BAN CÔNG RỘNG, CÓ NỘI THẤT, SỔ HỒNG : 0978 272 *** (có Zalo)",0.0,42.857142857142854
86.0,0,0,0.0,6600.0,2,1,3,2,0,Bán: 3PN - 86 m2 - tầng cao view Đông Bắc - full nôi thất 6.6 tỷ bao hết giấy tờ - view mát cả ngày,0.0,76.74418604651163
60.3,0,0,0.0,2380.0,2,2,2,2,0,"Bán nhanh căn góc tầng cao Citi Soho, 60.3m2 đầy đủ nội thất, ban công Đông Nam, chính chủ sổ sẵn",0.0,39.469320066334994
94.0,0,0,0.0,5000.0,0,2,3,0,0,"Chính chủ bán CH Housinco Nguyễn Xiển 94m2 - 3PN - 5 tỷ, full NT đẹp: 0971 085 ***",0.0,53.191489361702125
86.0,0,0,0.0,9600.0,2,1,2,2,0,Chuyển nhượng căn 2PN (86m2) view thoáng đẹp - nội thất cao cấp tại Hà Đô Centrosa. Giá tốt Tấn Đại,0.0,111.62790697674419
92.0,0,0,0.0,6200.0,1,2,3,2,0,"Căn góc 3PN + 2WC tại New Horizon City, 6,2 tỷ, 92m2, Hoàng Mai, HN - hàng hiếm giá ưu đãi",0.0,67.3913043478261
38.0,0,0,0.0,7390.0,2,2,0,0,0,"Bán Nhà Tân Mai đẹp lung linh cách 20m ra ô tô tránh 38m giá 7,39tỷ",0.0,194.47368421052633
71.0,0,0,0.0,5700.0,1,2,2,2,0,(Giá thật) chính chủ tôi bán căn tầng 16 Handiresco - 2Pn 2vs cơ bản 5.7 tỷ. Bán gấp! 0364 079 ***,0.0,80.28169014084507
62.0,0,0,0.0,2850.0,0,0,2,2,0,"Sở hữu CH mặt tiền Quốc Lộ 13, bàn giao full nội thất, Tặng 01 Chỉ vàng cho KH booking trước 20/05",0.0,45.96774193548387
75.6,0,0,4.0,2780.0,0,2,0,0,0,"2,780 tỷ sốc - đất ngay chợ đường, 75,6m2 thổ cư, đường 7m dân trí cao",7.0,36.77248677248677
120.0,0,0,8.0,500.0,0,2,0,0,0,"Cần ra đi lô đất đẹp 120m2 MTĐ. Cầu Vòng, phường 5, gần trường đại học Trà Vinh, giá 500tr. SHR.",0.0,4.166666666666667
59.0,0,0,0.0,2650.0,0,1,2,1,0,"Quỹ căn 1-3PN chính chủ view đẹp, giá rẻ, pháp lý rõ ràng miễn phí môi giới tại Vin Ocean Park 1",0.0,44.91525423728814
